,code,current,name,gender,country_name,nationality,height,weight,disciplines,events,birth_date,birth_country,residence_country,occupation,events_nb,disciplines_nb,Age,country_code,sport_family,Student,Employed,sport_group,code_athlete,Bronze Medal,Silver Medal,Gold Medal,medals_number,nb_days_medal,nb_discipline_medal,nb_event_medal,team_nb_medal
0,1946177,True,McKEON Emma,Female,Australia,Australia,,,Swimming,"Womens 100m Butterfly,Womens 4x 100m Freestyle Relay,Womens 4x 100m Medley Relay,Mixed 4x 100m Medley Relay",1994-05-24,Australia,Australia,Athlete,4,1,30,AUS,Aquatics,0,0,Aquatic Sports,1946177,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0
1,1946218,True,O'CALLAGHAN Mollie,Female,Australia,Australia,,,Swimming,"Womens 100m Freestyle,Womens 200m Freestyle,Womens 4x 100m Freestyle Relay,Womens 4x 100m Medley Relay,Womens 4x 200m Freestyle Relay,Mixed 4x 100m Medley Relay",2004-04-02,Australia,Australia,Athlete,6,1,20,AUS,Aquatics,0,0,Aquatic Sports,1946218,1.0,1.0,3.0,5.0,5.0,5.0,5.0,4.0
2,1945125,True,ZHANG Yufei,Female,China,China,,,Swimming,"Womens 100m Butterfly,Womens 200m Butterfly,Womens 4x 100m Freestyle Relay,Womens 4x 100m Medley Relay,Womens 50m Freestyle,Mixed 4x 100m Medley Relay",1998-04-19,China,China,Athlete,6,1,26,CHN,Aquatics,0,0,Aquatic Sports,1945125,5.0,1.0,0.0,6.0,6.0,6.0,6.0,3.0
3,1945159,True,YANG Junxuan,Female,China,China,,,Swimming,"Womens 100m Freestyle,Womens 200m Freestyle,Womens 4x 100m Freestyle Relay,Womens 4x 100m Medley Relay,Womens 4x 200m Freestyle Relay,Mixed 4x 100m Medley Relay",2002-01-26,China,China,Athlete,6,1,22,CHN,Aquatics,0,0,Aquatic Sports,1945159,3.0,1.0,0.0,4.0,4.0,4.0,4.0,4.0
4,1935896,True,DRESSEL Caeleb,Male,United States,United States,,,Swimming,"Mens 100m Butterfly,Mens 4x 100m Freestyle Relay,Mens 4x 100m Medley Relay,Mens 50m Freestyle,Mixed 4x 100m Medley Relay",1996-08-16,United States,United States,Athlete,5,1,28,USA,Aquatics,0,0,Aquatic Sports,1935896,0.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0
5,1935923,True,HUSKE Torri,Female,United States,United States,,,Swimming,"Womens 100m Butterfly,Womens 100m Freestyle,Womens 4x 100m Freestyle Relay,Womens 4x 100m Medley Relay,Mixed 4x 100m Medley Relay",2002-12-07,United States,United States,Athlete,5,1,21,USA,Aquatics,0,0,Aquatic Sports,1935923,0.0,2.0,3.0,5.0,5.0,5.0,5.0,3.0
6,1572177,True,AN Byeong Hun,Male,Korea,Korea,187.0,,Golf,Mens Individual Stroke Play,1991-09-17,Korea,United States,,1,1,33,,Golf,0,0,Strength & Power Sports,,,,,,,,,
7,1572180,True,KIM Hyo Joo,Female,Korea,Korea,166.0,,Golf,Womens Individual Stroke Play,1995-07-14,Korea,United States,,1,1,29,,Golf,0,0,Strength & Power Sports,,,,,,,,,
8,1572181,True,KIM Tom,Male,Korea,Korea,180.0,,Golf,Mens Individual Stroke Play,2002-06-21,Korea,United States,,1,1,22,,Golf,0,0,Strength & Power Sports,,,,,,,,,
9,1572185,True,KO Jin Young,Female,Korea,Korea,168.0,,Golf,Womens Individual Stroke Play,1995-07-07,Korea,Korea,,1,1,29,,Golf,0,0,Strength & Power Sports,,,,,,,,,
