,Country,Number of athletes,Gold medals,Silver medals,Bronze medals,Total medals,GDP,GDP per capita,Population,Life expectancy,Democracy,Gender equality,Female athletes %,country_code,female_population,male_population,total_population,rural_population,urban_population,transport_work_walking,transport_work_bicycle,sports_facilities_very_satisfied_2019,sports_facilities_very_satisfied_2023,sports_facilities_rather_satisfied_2019,sports_facilities_rather_satisfied_2023,sports_facilities_rather_unsatisfied_2019,sports_facilities_rather_unsatisfied_2023,sports_facilities_rather_notatall_satisfied_2019,sports_facilities_rather_notatall_satisfied_2023,gdp_per_capita_x,gdp_per_capita_y,nutritional_needs,heavy_women_famine,heavy_men_famine,heavy_famine,women_famine,men_famine,famine,under_feeding,energetical_feed,domestic_currency,percent_of_gdp,GF0801,percentage_of_total_employment
0,Kosovo,9,0,1,1,2,,,,,,,0.7777777778,XKX,50.1576327914588,49.8423072379149,1760466,..,..,,,,,,,,,,,,15029.3491,,,,,,,,,,,,,
1,Bhutan,3,0,0,0,0,2898227713.22315,3704.01839495326,782455.0,72.229,5.54,0.334,0.3333333333,BTN,47.1903703011931,52.8096296988069,792382,55,45,,,,,,,,,,,,,,,,,,,,,,,,,
2,Brunei,3,0,0,0,0,16681536466.7183,37152.4769749763,449002.0,74.551,,0.279,0.3333333333,BRN,48.3435631271141,51.656656239443,455858,20.561,79.439,,,,,,,,,,,,86445.66053,,,,,,,,,,,,,
3,Laos,4,0,0,0,0,15468785203.7532,2054.43078086496,7529475.0,68.999,1.77,0.467,0.75,LAO,49.6186801549657,50.3813198450343,7736681,61.094,38.906,,,,,,,,,,,,9326.272194,,,,,,,,,,,,,
4,Oman,4,0,0,0,0,114667360208.062,25056.7948608378,4576298.0,73.935,3.12,0.267,0.25,OMN,39.4640730675989,60.5359269324011,4713553,11.002,88.998,,,,,,,,,,,,44421.19796,,,,,,,,5.7,126.0,,,,
5,Yemen,4,0,0,0,0,,698.850349965249,33696614.0,63.72,1.95,0.82,0.25,YEM,49.5220295212476,50.4779704787524,35219853,59.523,40.477,,,,,,,,,,,,,,,,,76.1,68.9,72.5,39.5,95.0,,,,
6,Syria,6,0,0,0,0,,,22125249.0,72.3,1.43,0.487,0.1666666667,SYR,49.9695355517749,50.0304603411205,24348053,41.956,58.044,,,,,,,,,,,,,,,,,,,,,,,,,
7,Turkmenistan,6,0,0,0,0,56542857142.8571,8792.5485039672,6430770.0,69.41,1.66,,0.5,TKM,50.4630974719732,49.5368873720819,6598071,45.476,54.524,,,,,,,,,,,,,,,,,,,,4.1,123.0,,,,
8,Palestine,8,0,0,0,0,19165500000.0,3799.95527015163,5043612.0,73.444,3.47,,0.25,PSE,50.0709467925444,49.9290714059403,5284560,22.123,77.877,,,,,,,,,,,,5888.394311,,,,,,,,,,,,,
9,Saudi Arabia,9,0,0,0,0,1108571466666.67,30447.8823171601,36408820.0,77.905,2.08,0.229,0.2222222222,SAU,42.6093805109147,57.3906194890853,37473929,14.829,85.171,,,,,,,,,,,1067592.013,54991.72318,,,,,,,,,,,,,
10,Jordan,12,0,1,0,1,48653381830.9859,4311.0000506816,11285869.0,74.215,3.04,0.449,0.25,JOR,48.2686135223412,51.7313864776588,11384922,7.794,92.206,,,,,,,,,,,50970.07989,10451.91259,,,,,,,,17.9,108.0,,,,
11,Bahrain,13,2,1,1,4,44383297872.3404,30146.925026365,1472233.0,79.246,2.52,0.181,0.5384615385,BHR,38.2794693043093,61.7205306956907,1498712,10.001,89.999,,,,,,,,,,,45833.98503,63847.82973,,,,,,,,,,,,,
12,United Arab Emirates,13,0,0,0,0,507063968277.74,53707.9800813801,9441129.0,79.196,3.01,0.035,0.3076923077,ARE,30.9919678710673,69.008042554447,9591853,11.992,88.008,,,,,,,,,,,,83902.67113,,,,,,,,,,,,,
13,Qatar,14,0,0,1,1,235770403734.9,87480.4197119462,2695122.0,81.559,3.65,0.212,0.1428571429,QAT,27.866971178209,72.133028821791,2737061,0.613,99.387,,,,,,,,,,,,,,,,,,,,,,,,,
14,North Korea,16,0,2,4,6,,,26069416.0,73.578,1.08,,0.75,PRK,50.4225367353917,49.577459454298,26244582,36.497,63.503,,,,,,,,,,,,,,,,,,,,,,,,,
15,Vietnam,16,0,0,0,0,410324028883.325,4179.01179036963,98186856.0,74.58,2.62,0.378,0.75,VNM,50.5710856775756,49.4289143224244,99497680,59.805,40.195,,,,,,,,,,,,15194.34278,,,,,,,,,,,,,
16,Iraq,22,0,0,0,0,286640340965.517,6441.91736451813,44496122.0,71.336,2.88,0.562,0.0,IRQ,49.8581119708625,50.1418880291375,46523657,28.147,71.853,,,,,,,,,,,,13968.57417,,,,,,,,16.1,117.0,,,,
17,Hong Kong,36,2,0,2,4,358696261481.16,48828.1212454445,7346100.0,83.6609756097561,5.24,,0.5,HKG,54.0560416002762,45.9439717389602,7538601,0,100,,,,,,,,,,,380791.9539,71481.56813,,,,,,,,,,,,,
18,Iran,41,3,6,3,12,413394567603.552,4668.45744305826,88550570.0,74.556,1.96,0.484,0.2682926829,IRN,49.5609025034812,50.4390974965188,89809781,22.302,77.698,,,,,,,,,,,,17921.66427,,,,,,,,,,,,,
19,Chinese Taipei,60,2,0,5,7,,,,,8.92,,0.5666666667,TWN,,,,,,,,,,,,,,,,755619.4917,,,,,,,,,,,,,,
20,Uzbekistan,86,8,2,3,13,81140823252.4164,2276.16123306477,35648100.0,71.674,2.12,0.242,0.3720930233,UZB,49.9463612010651,50.0536359957576,36936168,49.374,50.626,,,,,,,,,,,90479.60957,9724.734008,,,,,,,,0.0,140.0,,,,
21,Turkey,101,0,3,5,8,907118435952.688,10674.5041731531,84979913.0,78.475,4.33,0.259,0.5346534653,TUR,49.9139077892471,50.0860910514727,85756376,22.107,77.893,19.5,1.25,21.95,18.975,26.9,33.3,16.2,17.025,21.425,17.05,1102449.652,44151.02489,,,,,,,,0.0,133.0,,,,0.37
22,India,117,0,1,5,6,3353470496885.95,2366.30960899931,1417173173.0,67.744,7.18,0.437,0.3846153846,IND,48.4371003167681,51.5628996832319,1441719852,63.133,36.867,,,,,,,,,,,3490622.635,10175.76797,,,,,,,,13.7,111.0,,,,
23,China,388,40,27,24,91,17881783387000.9,12662.5831692254,1412175000.0,78.587,2.12,0.186,0.662371134,CHN,49.0201336719031,50.9798663982636,1410132224,34.456,65.544,,,,,,,,,,,17809134.96,24557.63895,,,,,,,,0.0,139.0,,,,
24,South Korea,141,13,9,10,32,1673916511799.71,32394.6833725203,51672569.0,82.6804878048781,8.09,0.062,0.5390070922,KOR,50.1247005259541,49.8752975413785,51630832,18.502,81.498,,,,,,,,,,,1838380.914,54033.15998,,,,,,,,,,,,,
25,Equatorial Guinea,3,0,0,0,0,13486788878.9757,8052.25652929933,1674908.0,61.19,1.92,,0.3333333333,GNQ,47.3344338125565,52.6656231677277,1754993,25.126,74.874,,,,,,,,,,,,18723.64708,,,,,,,,,,,,,
26,Eswatini,3,0,0,0,0,4790922788.70864,3986.88723918267,1201670.0,56.36,2.78,0.491,0.3333333333,SWZ,50.4823353722153,49.5176646277847,1222075,74.987,25.013,,,,,,,,,,,,11740.81528,,,,,,,,,,,,,
27,São Tomé and Príncipe,3,0,0,0,0,542686976.457587,2386.6961758184,227380.0,68.794,,,0.6666666667,STP,50.1584306691316,49.8419923767139,236381,22.986,77.014,,,,,,,,,,,,6063.645097,,,,,,,,,,,,,
28,Central African Republic,4,0,0,0,0,2382618615.01694,427.058096191269,5579144.0,54.477,1.35,,0.5,CAF,50.0363866754953,49.9636133245047,5915627,55.87,44.13,,,,,,,,,,,,1129.980454,,,,,,,,,,,,,
29,Republic of the Congo,4,0,0,0,0,15817030156.9459,2649.23063369467,5970424.0,63.053,2.79,0.572,0.5,COG,50.0580906829591,49.9419093170409,6244547,30.362,69.638,,,,,,,,,,,,6932.938209,,,,,,,,,,,,,
30,Sudan,4,0,0,0,0,51666875363.0963,1102.24536132813,46874204.0,65.578,2.47,0.548,0.25,SDN,50.046156438193,49.953843561807,49358228,63.248,36.752,,,,,,,,,,,,3137.161865,,,,,,,,11.4,118.0,,,,
31,Gabon,5,0,0,0,0,21071739227.9422,8820.34733809998,2388992.0,65.694,2.18,0.524,0.6,GAB,49.20772596483,50.7922740351701,2484557,8.693,91.307,,,,,,,,,,,,21946.99085,,,,,,,,20.1,114.0,,,,
32,Democratic Republic of the Congo,6,0,0,0,0,65801547619.5974,664.593543336696,99010212.0,59.743,1.48,0.605,0.5,COD,50.3857946132016,49.614206333543,105625114,51.945,48.055,,,,,,,,,,,,1670.847219,,,,,,,,,,,,,
33,Mozambique,7,0,0,0,0,18406835494.9468,558.298592504349,32969518.0,59.625,3.51,0.477,0.5714285714,MOZ,50.9132145529792,49.0867883157696,34858402,60.674,39.326,,,,,,,,,,,,1657.109717,,,,,,,,24.8,100.0,,,,
34,Tanzania,7,0,0,0,0,75769974505.0106,1193.35961914063,65497748.0,66.782,5.35,0.513,0.4285714286,TZA,50.5552775099719,49.4447224900281,69419073,61.864,38.136,,,,,,,,,,,,3972.607666,,,,,,,,,,,,,
35,Rwanda,8,0,0,0,0,13316160803.5187,966.571293318523,13776698.0,67.129,3.3,0.4,0.625,RWA,51.0056739861713,48.9943329510902,14414910,81.919,18.081,,,,,,,,,,,,3361.105806,,,,,,,,31.4,102.0,,,,
36,Eritrea,12,0,0,0,0,,,3684032.0,66.604,2.03,,0.25,ERI,50.6212327947212,49.3787672052788,3817651,56.089,43.911,,,,,,,,,,,,,,,,,,,,,,,,,
37,Guinea,24,0,0,0,0,20999229260.4995,1515.16794777612,13859341.0,58.985,2.21,0.609,0.2083333333,GIN,50.4666602885172,49.5333328285877,14528770,61.483,38.517,,,,,,,,,,,,4429.343566,,,,,,,,10.3,131.0,,,,
38,Zambia,27,0,0,1,1,29163782140.4858,1456.90157026157,20017675.0,61.803,5.8,0.526,0.7407407407,ZMB,50.6670051306631,49.3329996008932,21134695,53.086,46.914,,,,,,,,,,,,4125.625556,,,,,,,,35.4,98.0,,,,
39,Morocco,59,1,0,1,2,130912558829.84,3441.99145507813,37457971.0,74.973,5.04,0.44,0.3050847458,MAR,49.7060502191241,50.293952397892,38211459,34.357,65.643,,,,,,,,,,,144462.4264,9743.308594,,,,,,,,6.9,140.0,,,,
40,Nigeria,88,0,0,0,0,472624596925.938,2162.6337321033,218541212.0,53.633,4.23,0.677,0.7159090909,NGA,49.4405236323766,50.5594763676234,229152217,44.97,55.03,,,,,,,,,,,384823.3586,6318.159233,,,,,,,,,,,,,
41,Liechtenstein,1,0,0,0,0,7364654515.13984,187267.132380803,39327.0,84.319512195122,,,0.0,LIE,50.3490532871277,49.6509467128723,39822,85.293,14.707,,,,,,,,,,,,,,,,,,,,,,,,,
42,Andorra,2,0,0,0,0,3380602042.84283,42350.6970690874,79824.0,,,,0.5,AND,48.9563236703551,51.0436763296449,80341,12.253,87.747,,,,,,,,,,,,71587.48178,,,,,,,,,,,,,
43,San Marino,5,0,0,0,0,,,33660.0,,,,0.6,SMR,51.27625394181,48.7207711072767,33614,2.068,97.932,,,,,,,,,,,,,,,,,,,,,,,,,
44,Monaco,6,0,0,0,0,8784002931.68665,240862.18244774,36469.0,,,,0.5,MCO,51.0108692645961,48.9891307354039,36157,0,100,,,,,,,,,,,,,,,,,,,,,,,,,
45,Moldova,26,0,1,3,4,14510490660.2516,5715.28022054154,2538894.0,68.621,6.23,0.156,0.4615384615,MDA,52.4060885351208,47.5939114648792,2397965,56.401,43.599,,,,,,,,,,,16590.89573,17384.37689,,,,,,,,,,,,,
46,Great Britain,327,14,22,29,65,3088839763445.02,45564.1569448013,67791000.0,82.0585365853659,8.28,0.094,0.5321100917,GBR,50.5477863704446,49.4522151009781,68556800,15.116,84.884,35.2,6.4,32.5,25.983333333333334,39.825,42.18333333333333,10.7,13.15,5.875,6.666666666666667,3382201.236,58906.23886,,,,,,,,,,4474000000.0,0.1785328779,,:
47,Czech Republic,111,3,0,2,5,290565654835.809,27226.6156386023,10672118.0,79.0292682926829,7.97,0.113,0.4414414414,CZE,50.6217312814662,49.3782591981099,10878823,25.262,74.738,35.5,5.5,31.200000000000003,26.15,45.6,48.25,8.9,11.149999999999999,3.9499999999999997,5.5,343729.6836,53816.80339,,,,,,,,,,,,,0.58
48,Nauru,1,0,0,0,0,153824609.470517,12142.769929785,12668.0,64.014,,,0.0,NRU,49.2548897857808,50.7528717789506,12884,0,100,,,,,,,,,,,,12670.55385,,,,,,,,,,,,,
49,American Samoa,2,0,0,0,0,871000000.0,19673.3901023197,44273.0,,,,0.5,ASM,50.6499173250046,49.3523792026456,43544,12.716,87.284,,,,,,,,,,,,,,,,,,,,,,,,,
50,Cook Islands,2,0,0,0,0,,,,,,,0.5,COK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Solomon Islands,2,0,0,0,0,1566360686.10632,2162.6661301834,724273.0,70.742,,,1.0,SLB,49.0014841285469,50.9986480289372,756673,73.512,26.488,,,,,,,,,,,,3034.854752,,,,,,,,,,,,,
52,Tuvalu,2,0,0,0,0,59065982.0873657,5221.53306995807,11312.0,64.854,,,0.5,TUV,48.841261543823,51.158738456177,11478,33.072,66.928,,,,,,,,,,,,5763.454914,,,,,,,,,,,,,
53,Federated States of Micronesia,3,0,0,0,0,430000000.0,3766.51133457132,114164.0,70.925,,,0.3333333333,FSM,49.7833190025795,50.2175408426483,116300,76.445,23.555,,,,,,,,,,,,4216.50738,,,,,,,,,,,,,
54,Palau,3,0,0,0,0,242333709.716797,13421.9722911546,18055.0,,,,0.6666666667,PLW,48.2687939726331,51.7312060273669,18051,17.161,82.839,,,,,,,,,,,,17490.75234,,,,,,,,,,,,,
55,Marshall Islands,4,0,0,0,0,258774475.097656,6225.17922244115,41569.0,65.146,,,0.5,MHL,49.0227513851232,50.9772486148768,42415,20.792,79.208,,,,,,,,,,,,7491.38615,,,,,,,,,,,,,
56,Guam,8,0,0,0,0,6910000000.0,40227.2753734558,171774.0,78.33,,,0.875,GUM,49.728338904396,50.2722354319584,174114,4.76000000000001,95.24,,,,,,,,,,,,,,,,,,,,,,,,,
57,British Virgin Islands,4,0,0,0,0,,,31305.0,76.373,,,0.25,VGB,51.7425935837295,48.2574064162705,31763,49.829,50.171,,,,,,,,,,,,,,,,,,,,,,,,,
58,Cayman Islands,4,0,0,0,0,6600844001.53721,96073.7635946963,68706.0,,,,0.5,CYM,49.6301066037061,50.3698933962939,69885,0,100,,,,,,,,,,,,,,,,,,,,,,,,,
59,Saint Vincent and the Grenadines,4,0,0,0,0,966492592.592592,9297.84692916259,103948.0,68.972,,,0.5,VCT,49.2375799311363,50.7624200688637,103683,45.275,54.725,,,,,,,,,,,,19875.68917,,,,,,,,,,,,,
60,Virgin Islands,5,0,0,0,0,,,105413.0,80.319512195122,,,0.2,VIR,53.6729386568762,46.3280811789302,104181,3.68600000000001,96.314,,,,,,,,,,,,,,,,,,,,,,,,,
61,Aruba,6,0,0,0,0,3544707788.05664,33300.8388187011,106445.0,74.992,,,0.3333333333,ABW,52.9408440622734,47.0600977612854,106177,55.526,44.474,,,,,,,,,,,,,,,,,,,,,,,,,
62,Nicaragua,7,0,0,0,0,15649934214.9276,2252.31020571776,6948392.0,74.615,2.26,0.397,0.8571428571,NIC,50.7274104172346,49.2725895827654,7142529,39.845,60.155,,,,,,,,,,,17734.32992,8043.737115,,,,,,,,19.6,116.0,,,,
63,Bermuda,8,0,0,0,0,7827980000.0,123091.123516,63595.0,81.571,,,0.5,BMU,51.8401501524986,48.1598498475014,..,0,100,,,,,,,,,,,,,,,,,,,,,,,,,
64,Panama,8,0,1,0,1,76522511780.6222,17357.6286293985,4408581.0,76.826,6.91,0.392,0.625,PAN,50.0207267686272,49.9792953163687,4527961,30.112,69.888,,,,,,,,,,,,39695.08196,,,,,,,,5.6,132.0,,,,
65,Puerto Rico,51,0,0,2,2,113567200000.0,35268.0791015719,3220113.0,79.72,,,0.4705882353,PRI,52.9418728941062,47.0581271058938,3211671,6.336,93.664,,,,,,,,,,,,47699.56154,,,,,,,,,,,,,
66,Dominican Republic,58,1,0,2,3,113537368176.13,10111.2457110261,11228821.0,74.17,6.44,0.433,0.4310344828,DOM,49.8779124200138,50.1220875799862,11434005,14.989,85.011,,,,,,,,,,,,25610.51187,,,,,,,,,,,,,
67,Cuba,61,2,1,6,9,,,11212191.0,78.155,2.65,0.3,0.4426229508,CUB,50.4259799489681,49.5740200510319,11174587,22.343,77.657,,,,,,,,,,,,,,,,,,,,0.0,131.0,,,,
68,United States,592,40,44,42,126,25744108000000.0,77246.6738828672,333271411.0,77.4341463414634,7.85,0.18,0.5304054054,USA,50.5084460743347,49.4915542182217,336610656,16.485,83.515,,,,,,,,,,,27720800.0,81695.18707,,,,,,,,,,,,,
69,Bolivia,4,0,0,0,0,44008282879.8842,3600.12163502163,12224110.0,64.928,4.2,0.418,0.5,BOL,49.9162670593036,50.0837329406964,12567336,28.455,71.545,,,,,,,,,,,45100.57212,10726.99881,,,,,,,,,,,,,
70,Venezuela,33,0,0,0,0,,,28301696.0,71.105,2.31,0.521,0.4545454545,VEN,50.5933458691097,49.4066541308903,29395334,11.495,88.505,,,,,,,,,,,,,,,,,,,,,,,,,
71,Armenia,15,0,3,1,4,19513474648.2429,7018.05150434798,2780469.0,73.372,5.42,0.198,0.1333333333,ARM,55.005923370911,44.994076629089,2777979,36.071,63.929,,,,,,,,,,,24012.08904,23054.60052,,0.0,0.0,0.0,8.5,7.2,7.8,0.0,135.0,,,,
72,Indonesia,29,2,0,1,3,1319076267310.16,4787.91236404903,275501339.0,68.25,6.53,0.439,0.4482758621,IDN,49.6653788318588,50.3346211681412,279798049,40.796,59.204,,,,,,,,,,,1371465.1,15612.79912,,0.0,0.0,0.0,5.0,4.9,4.9,7.2,123.0,,,,
