,athlete_id,participations,name,gender,country_code
0,105471,3,Masoud Azizi,Male,AFG
1,57056,3,Mohammad Ebrahimi,Male,AFG
2,57067,2,Djan-Aka Djan,Male,AFG
3,57083,2,Shakar Khan Shakar,Male,AFG
4,57066,2,Ahmad Djan,Male,AFG
5,57065,2,Ghulam Dastagir,Male,AFG
6,57073,2,Faiz Mohammad Khakshar,Male,AFG
7,117423,2,Nesar Ahmad Bahawi,Male,AFG
8,117410,2,Rohullah Nikpai,Male,AFG
9,17325,2,Bakhteyar Gulam Mangal,Male,AFG
10,17331,2,Jahan Gulam Nuristani,Male,AFG
11,17330,2,Din Mohammad Nuristani,Male,AFG
12,17328,2,Abdul Kadir Nuristani,Male,AFG
13,17326,2,Mohammad Amin Nuristani,Male,AFG
14,17327,2,Khan Nasrullah Totakhail,Male,AFG
15,55076,3,Rudy Monk,Male,AHO
16,41053,3,Michel Daou,Male,AHO
17,21034,2,Jan Boutmy,Male,AHO
18,55077,2,Fortunato Rijna,Male,AHO
19,63550,2,Constantino Saragoza,Male,AHO
20,84624,2,Bart Carpentier Alting,Male,AHO
21,55097,2,Bèto Adriana,Male,AHO
22,55072,2,Hector Curiel,Male,AHO
23,44890,2,Howard Hinds,Male,AHO
24,44892,2,Hilton Woods,Male,AHO
25,110734,4,Erjon Tola,Male,ALB
26,108054,3,Sahit Prizreni,Male,ALB
27,121597,3,Briken Calja,Male,ALB
28,117204,3,Elis Guri,Male,ALB
29,115859,3,Sidni Hoxha,Male,ALB
30,116361,2,Erkand Qerimaj,Male,ALB
31,55082,2,Ilirian Suli,Male,ALB
32,105567,2,Dorian Çollaku,Male,ALB
33,103562,2,Gert Trasha,Male,ALB
34,132267,2,Izmir Smajlaj,Male,ALB
35,112185,4,Abdelhafid Benchabla,Male,ALG
36,44897,4,Salim Iles,Male,ALG
37,91871,4,Amar Meridja,Male,ALG
38,91872,3,Omar Rebahi,Male,ALG
39,83226,3,Ali Saïdi-Sief,Male,ALG
40,83216,3,Kamal Boulahfane,Male,ALG
41,31531,3,Omar Azzeb,Male,ALG
42,120908,3,Mohamed Flissi,Male,ALG
43,120860,3,Chouaib Bouloudinats,Male,ALG
44,122066,3,Walid Bidani,Male,ALG
45,112939,3,Abdelkader Chadi,Male,ALG
46,64305,3,Noureddine Morceli,Male,ALG
47,64295,3,Adem Hecini,Male,ALG
48,83211,3,Moussa Aouanouk,Male,ALG
49,55083,3,Azzedine Basbas,Male,ALG
50,64282,2,Aïssa Bel Aout,Male,ALG
51,3292,2,Hocine Soltani,Male,ALG
52,57094,2,Youssef Bouguerra,Male,ALG
53,33816,2,Abdel Hakim Harkat,Male,ALG
54,55089,2,Abdel Manaane Yahiaoui,Male,ALG
55,29342,2,Mohamed Lazhari,Male,ALG
56,117175,2,Mohamed Serir,Male,ALG
57,115787,2,Nabil Kebbab,Male,ALG
58,118002,2,Kamel Ait Daoud,Male,ALG
59,122733,2,Issam Nima,Male,ALG
60,31781,2,Zineddine Mohamed Seghir,Male,ALG
61,64284,2,Ahmed Bel Kessam,Male,ALG
62,64292,2,Abdel Wahab Ferguene,Male,ALG
63,64312,2,Hakim Toumi,Male,ALG
64,3291,2,Azzedine Saïd,Male,ALG
65,31536,2,Abdel Salem Ben Magh Soula,Male,ALG
66,31549,2,Abu Sofiane Draouci,Male,ALG
67,31542,2,Brahim Bourdrali,Male,ALG
68,31784,2,Kamel Ouchia,Male,ALG
69,31543,2,Mourad Boussebt,Male,ALG
70,31535,2,Abdel Krim Ben Djemil,Male,ALG
71,31547,2,Ahcen Djeffal,Male,ALG
72,31778,2,Mohamed Machou,Male,ALG
73,31780,2,Mouloud Mekhnache,Male,ALG
74,31782,2,Rashid Mokhrani,Male,ALG
75,55088,2,Ahmed Tarbi,Male,ALG
76,55090,2,Omar Yousfi,Male,ALG
77,64278,2,Mehdi Aidet,Male,ALG
78,64304,2,Abderrahmane Morceli,Male,ALG
79,7430,2,Mohamed Bouchiche,Male,ALG
80,83219,2,Mohamed Khaldi,Male,ALG
81,83225,2,Djabir Saïd-Guerni,Male,ALG
82,83221,2,Malik Louahla,Male,ALG
83,83223,2,Samir Moussaoui,Male,ALG
84,83218,2,Abderrahmane Hammad,Male,ALG
85,91869,2,Mohamed Bouaichaoui,Male,ALG
86,91868,2,Sami Belgroun,Male,ALG
87,91870,2,Khaled Meddah,Male,ALG
88,91873,2,Noureddine Yagoubi,Male,ALG
89,5515,2,Abdel Hani Kenzi,Male,ALG
90,6001,2,Mebarek Soltani,Male,ALG
91,33629,2,Meziane Dahmani,Male,ALG
92,64298,2,Lotfi Khaïda,Male,ALG
93,64289,2,Azzedine Brahmi,Male,ALG
94,31539,2,Mahmoud Bouanik,Male,ALG
95,7433,2,Yacine Sheikh,Male,ALG
96,31533,2,Ben Ali Beghouach,Male,ALG
97,7434,2,Ahmed Dine,Male,ALG
98,3288,2,Noureddine Meziane,Male,ALG
99,3294,2,Slimane Zengli,Male,ALG
100,64277,2,Réda Abdenouz,Male,ALG
101,103214,2,Sofiane Daid,Male,ALG
102,103183,2,Mahrez Mebarek,Male,ALG
103,106717,2,Amar Benikhlef,Male,ALG
104,106296,2,Nabil Kassel,Male,ALG
105,106591,2,Khoudir Aggoune,Male,ALG
106,105615,2,Tarek Boukensa,Male,ALG
107,106623,2,Nabil Madi,Male,ALG
108,64286,2,Réda Benzine,Male,ALG
109,3286,2,Noureddine Madjhoud,Male,ALG
110,7425,2,Mohamed Allalou,Male,ALG
111,21035,2,Raouf Salim Bernaoui,Male,ALG
112,132268,2,Abdelmalik Lahoulou,Male,ALG
113,132274,2,Hicham Bouchicha,Male,ALG
114,132311,2,Sid Boudina,Male,ALG
115,132312,2,Hamza Bouras,Male,ALG
116,132314,2,Oussama Sahnoune,Male,ALG
117,132315,2,Adem Boudjemline,Male,ALG
118,132278,2,Yassine Hethat,Male,ALG
119,122237,2,Victor Sintès,Male,ALG
120,120907,2,Ilyas Abbadi,Male,ALG
121,121094,2,Azzedine Lagab,Male,ALG
122,123698,2,Tarek Aziz Benaissa,Male,ALG
123,122730,2,Taoufik Makhloufi,Male,ALG
124,41065,5,Joan Tomas,Male,AND
125,64314,5,Toni Bernadó,Male,AND
126,86127,4,Víctor Gómez,Male,AND
127,85570,4,Gerard Escoda,Male,AND
128,103741,3,Hocine Haciane,Male,AND
129,119593,3,Lluís Marín,Male,AND
130,127268,3,Joan Verdú,Male,AND
131,109904,2,Roger Vidosa,Male,AND
132,109855,2,Francesc Soulié,Male,AND
133,96957,2,Ramón Rossell,Male,AND
134,118399,2,Kevin Esteve,Male,AND
135,95537,2,Luis Molné,Male,AND
136,63396,2,Oscar Ramón,Male,AND
137,34089,2,Antoni Molné,Male,AND
138,63395,2,David Ramón,Male,AND
139,112679,2,Daniel García,Male,AND
140,96089,2,Nahum Orobitg,Male,AND
141,85777,2,Carlos Font,Male,AND
142,41064,2,Francesco Gaset,Male,AND
143,16084,2,Xavier Pérez,Male,AND
144,16083,2,Emili Pérez,Male,AND
145,101799,2,Alex Antor,Male,AND
146,132317,2,Pol Moya,Male,AND
147,127267,2,Marc Oliveras,Male,AND
148,136667,2,Irineu Esteve Altimiras,Male,AND
149,64327,6,João N'Tyamba,Male,ANG
150,7302,4,Ângelo Victoriano,Male,ANG
151,5965,4,Victor de Carvalho,Male,ANG
152,89756,3,Carlos Almeida,Male,ANG
153,6699,3,Aníbal Moreira,Male,ANG
154,6004,3,David Dias,Male,ANG
155,5899,3,Herlander Coimbra,Male,ANG
156,7301,3,Edmar Victoriano,Male,ANG
157,6228,2,José Carlos Guimarães,Male,ANG
158,5907,2,Jean-Jacques da Conceição,Male,ANG
159,6990,2,Benjamim João Romano,Male,ANG
160,7260,2,Benjamim Ucuahamba,Male,ANG
161,116510,2,Fortunato Pacavira,Male,ANG
162,92986,2,João Paulo de Silva,Male,ANG
163,89760,2,Miguel Lutonda,Male,ANG
164,89761,2,Victor Muzadi,Male,ANG
165,64321,2,António dos Santos,Male,ANG
166,44913,2,Pedro Lima,Male,ANG
167,33729,2,Moisés Torres,Male,ANG
168,103889,2,João Matias,Male,ANG
169,108465,2,Abdel Moussa,Male,ANG
170,108463,2,Eduardo Mingas,Male,ANG
171,108462,2,Joaquim Gomes,Male,ANG
172,108460,2,Olímpio Cipriano,Male,ANG
173,132323,2,Matias Montinho,Male,ANG
174,132324,2,Paixão Afonso,Male,ANG
175,124899,2,Pedro Pinotes,Male,ANG
176,105492,4,Daniel Bailey,Male,ANT
177,64350,3,Howard Lindsay,Male,ANT
178,64349,3,Dale Jones,Male,ANT
179,105523,3,Brendan Christian,Male,ANT
180,64352,2,Larry Miller,Male,ANT
181,64341,2,Alfred Browne,Male,ANT
182,15348,2,Neil Lloyd,Male,ANT
183,64339,2,N'Kosie Barnes,Male,ANT
184,62464,2,Karl James,Male,ANT
185,132326,2,Cejhae Greene,Male,ANT
186,45155,3,Frank Beaurepaire,Male,ANZ
187,11249,2,Syd Middleton,Male,ANZ
188,45296,2,Theo Tartakover,Male,ANZ
189,11240,2,Dan Carroll,Male,ANZ
190,62704,7,Santiago Lange,Male,ARG
191,14040,6,Juan Esteban Curuchet,Male,ARG
192,61945,5,Carlos Espínola,Male,ARG
193,63529,5,Jorge Alberto Salas,Male,ARG
194,63647,5,Roberto Sieburger,Male,ARG
195,92754,5,Juan de la Fuente,Male,ARG
196,41115,5,Firmo Roberti,Male,ARG
197,41119,5,Ricardo Rusticucci,Male,ARG
198,16075,5,Walter Pérez,Male,ARG
199,108481,5,Luis Scola,Male,ARG
200,108948,4,Juan Vivaldi,Male,ARG
201,108479,4,Andrés Nocioni,Male,ARG
202,108475,4,Manu Ginóbili,Male,ARG
203,61810,4,Jorge Alberto del Río,Male,ARG
204,35220,4,Sergio Fernández,Male,ARG
205,33760,4,Gastón García,Male,ARG
206,118278,4,Emmanuel Lucenti,Male,ARG
207,116743,4,"José la Rocca, Jr.",Male,ARG
208,108473,4,Carlos Delfino,Male,ARG
209,101078,4,Cristian Simari Birkner,Male,ARG
210,62007,4,Pedro Ferrero,Male,ARG
211,51769,4,Martín Conde,Male,ARG
212,100942,4,Santiago Fernández,Male,ARG
213,44972,4,José Meolans,Male,ARG
214,61405,4,Ricardo Boneo,Male,ARG
215,41084,4,Óscar Cervo,Male,ARG
216,17415,4,Pablo Moreira,Male,ARG
217,33440,4,Orlando Baccino,Male,ARG
218,21066,4,Roberto Larraz,Male,ARG
219,51996,4,Eduardo Martínez,Male,ARG
220,93934,4,Song Liu,Male,ARG
221,83231,4,Juan Ignacio Cerra,Male,ARG
222,86133,4,Rubén González,Male,ARG
223,14039,4,Gabriel Curuchet,Male,ARG
224,11866,4,Carlos D'Elia,Male,ARG
225,63480,3,Rufino Rodríguez de la Torre,Male,ARG
226,44989,3,Alberto Zorrilla,Male,ARG
227,21095,3,Raúl Saucedo,Male,ARG
228,21079,3,Carmelo Merlo,Male,ARG
229,108476,3,Leonardo Gutiérrez,Male,ARG
230,108946,3,Matías Paredes,Male,ARG
231,108947,3,Lucas Rey,Male,ARG
232,96871,3,Luis Ríos,Male,ARG
233,117567,3,David Nalbandian,Male,ARG
